datetime,volume,demand_bid,supply_bid,price
2024-01-01 00:00:00,23355.4,7595.474999999999,19603.175,2813.275366022419
2024-01-01 01:00:00,23898.3,7543.25,21870.65,2489.3751516216635
2024-01-01 02:00:00,24048.0,7548.875,23410.975,2349.9438802395207
2024-01-01 03:00:00,23819.7,7515.025,23645.075,2424.74216740765
2024-01-01 04:00:00,23633.5,7392.175,21275.1,2447.5055394249684
2024-01-01 05:00:00,26761.1,8788.625,17751.075,3052.5803974425567
2024-01-01 06:00:00,33117.48,11486.05,12762.425,3631.1306243832555
2024-01-01 07:00:00,37894.01,16195.15,10019.975,8484.59454656554
2024-01-01 08:00:00,31178.98,20049.175,7920.75,10000.0
2024-01-01 09:00:00,30815.7,20993.825,7829.925,10000.000000000002
2024-01-01 10:00:00,33704.49,16807.8,8559.425,9789.634494395257
2024-01-01 11:00:00,35185.36,14373.15,9543.75,6480.953794174621
2024-01-01 12:00:00,31965.29,12881.575,10374.675,4117.060084078699
2024-01-01 13:00:00,32552.4,10824.075,12322.7,3289.7563403927206
2024-01-01 14:00:00,33302.2,11442.95,12774.7,3493.0077278378
2024-01-01 15:00:00,37170.8,13327.15,12867.475,3777.3884120869075
2024-01-01 16:00:00,34192.48,14765.95,9475.625,7064.715891798432
2024-01-01 17:00:00,28153.08,15915.325,7170.275,10000.0
2024-01-01 18:00:00,34426.4,16443.575,8738.6,10000.0
2024-01-01 19:00:00,34943.99,13211.7,9930.3,6488.348325843729
2024-01-01 20:00:00,29730.0,10863.0,11293.725,4231.983211570805
2024-01-01 21:00:00,25353.2,8824.875,12691.625,3058.287339191897
2024-01-01 22:00:00,21015.7,7843.575,15090.225,2960.665259258554
2024-01-01 23:00:00,20219.8,7644.575,16654.625,3003.7191150753215
2024-01-02 00:00:00,20656.2,7755.799999999999,18334.775,2988.281037460907
2024-01-02 01:00:00,21800.78,7509.675,20554.65,2695.648949725652
2024-01-02 02:00:00,22553.18,7440.65,21636.5,2492.4891610052327
2024-01-02 03:00:00,21520.1,7297.4,21345.85,2636.4412241114123
2024-01-02 04:00:00,21546.17,7315.1,19563.675,2711.9638629928195
2024-01-02 05:00:00,25860.199999999997,8965.15,16114.525,3100.3716789506652
2024-01-02 06:00:00,31970.35,11922.0,10782.65,4011.4871035819124
2024-01-02 07:00:00,36458.09,16576.875,9310.45,8680.030723551345
2024-01-02 08:00:00,29310.19,20972.875,7327.55,10000.0
2024-01-02 09:00:00,26793.2,21989.3,6698.3,10000.000000000002
2024-01-02 10:00:00,30387.5,17122.075,7634.7,9542.528719999998
2024-01-02 11:00:00,34174.72,14581.05,9091.65,7020.651833589272
2024-01-02 12:00:00,29870.480000000003,12623.85,9753.325,4230.242326196298
2024-01-02 13:00:00,30111.0,10747.475,11706.975,3487.588610806682
2024-01-02 14:00:00,31223.1,11494.775,12298.575,3703.965186288357
2024-01-02 15:00:00,39053.1,14423.85,12276.65,4130.739145573591
2024-01-02 16:00:00,32782.18,16333.55,8524.25,7701.82509052174
2024-01-02 17:00:00,24985.5,19714.075,6313.375,10000.0
2024-01-02 18:00:00,27947.17,20726.175,6986.8,10000.0
2024-01-02 19:00:00,29794.3,15307.975,7448.575,10000.0
2024-01-02 20:00:00,27992.9,11445.175,8796.45,5136.91493964541
2024-01-02 21:00:00,24539.7,9036.675,11453.575,3388.3073192826328
