date,price,volume,demand_bid,supply_bid
2024-01-11,"[2997.5197377765744, 2727.952093695921, 2449.898471914113, 2325.2817210504995, 2595.115753113255, 3059.0111001207883, 3893.015200951475, 6492.121726620174, 9999.999999999998, 9999.999999999998, 10000.0, 6399.260774544084, 4148.528760659376, 3474.3816362860134, 3522.1685882787374, 3533.948068454879, 4912.26611496895, 10000.0, 10000.000000000002, 8130.88887304529, 4403.328026623393, 3658.210098388664, 3131.2520422579228, 3084.5732906012017]","[26218.1, 28228.55, 28534.26, 28904.73, 28109.65, 27602.06, 35565.8, 42094.84, 39817.88, 33076.7, 36668.9, 38643.12, 35488.71, 33963.5, 35367.18, 39909.5, 40257.13, 31488.58, 32945.09, 34764.130000000005, 32167.2, 28305.09, 24799.61, 26420.4]","[9228.475, 8452.45, 8234.625, 8165.15, 8336.6, 9624.7, 12774.325, 16292.3, 20177.775, 21787.125, 18594.75, 17135.45, 14757.075, 12564.25, 12835.575, 13642.85, 15089.575, 16061.275, 16073.05, 15373.275, 12234.1, 10627.125, 9248.75, 9646.275]","[23428.675, 25974.9, 26983.8, 26898.425000000003, 25211.5, 18512.275, 13248.6, 11933.475, 10041.475, 8356.175, 9254.225, 10438.8, 12062.875, 14848.95, 15447.25, 15028.3, 12235.475, 7969.15, 8333.275, 8999.775, 10477.8, 12156.35, 14650.15, 18123.2]"
2024-01-12,"[3006.5409931115955, 2924.5463948432703, 2626.7935113679832, 2508.032813941151, 2806.773472325682, 3112.1685497539133, 4041.897294709575, 8087.262517047226, 10000.000000000002, 10000.0, 10000.0, 4787.663681241869, 3818.641077174911, 3391.6834205882355, 3531.856180864485, 3473.795168073543, 4084.967941237978, 9131.398496326714, 10000.0, 8536.584700150494, 4600.380483144869, 3724.60710283443, 3171.221548656649, 3129.4735261911133]","[28780.25, 29842.17, 29645.54, 29574.89, 28862.5, 29725.3, 36419.380000000005, 40085.7, 34724.4, 32039.3, 36274.99, 39199.0, 36611.51, 34000.0, 33473.57, 36919.85, 37345.89, 30122.9, 31801.89, 34925.52, 34246.25, 29536.8, 24824.870000000003, 24505.45]","[9799.725, 9171.8, 8748.85, 8625.175, 8829.6, 10163.85, 13478.275, 17459.175, 19684.65, 20061.475, 16983.525, 15820.45, 14224.65, 12187.8, 12155.6, 12683.725, 13820.925, 14403.175, 16155.325, 15906.6, 12969.725, 11222.4, 9806.75, 9496.175]","[23009.575, 25782.725, 27255.8, 27303.975, 24892.55, 18312.925, 12936.075, 10602.15, 8806.1, 8134.825, 9193.75, 11581.75, 12765.225, 15286.725, 15681.775, 15281.5, 12370.175, 7782.7, 8075.475, 8988.35, 10532.3, 12259.275, 14993.725, 17713.625]"
2024-01-13,"[3084.505031475184, 2957.9159188237536, 2839.7142894519225, 2760.196970550643, 2909.490606231396, 3255.572917489663, 4129.528479640403, 7521.372356195106, 10000.0, 9999.999999999998, 8440.810079650139, 4604.122197819786, 3815.855324807848, 3426.6292228682883, 3537.5353360409617, 3537.7875089494364, 4545.99306720023, 8812.703678067575, 10000.0, 9160.767058269485, 5232.518868981849, 4133.324671636137, 3505.9050541001648, 3244.390328874619]","[24241.32, 23117.6, 22879.24, 23002.2, 22710.8, 26448.08, 37506.39, 43919.75, 35653.06, 34380.490000000005, 37363.4, 35860.72, 32466.58, 29993.5, 31639.0, 34275.9, 36641.69, 30636.74, 30986.56, 35057.630000000005, 38834.39, 29545.73, 22449.1, 21658.71]","[8912.175, 8085.525, 7928.45, 7821.05, 8145.2, 9727.15, 13728.25, 17844.574999999997, 19502.6, 18997.475, 16082.85, 14474.15, 12947.675, 11307.975, 11639.725, 12144.425, 14007.5, 14619.225, 16822.4, 16898.525, 14225.225, 11348.425, 9861.825, 9821.9]","[21448.25, 24103.4, 25386.875, 25721.25, 23922.425, 17772.5, 13353.825, 11413.575, 8923.275, 8710.125, 9764.175, 11200.0, 12752.075, 15685.175, 15709.0, 15032.95, 12123.825, 7855.075, 7746.65, 8867.625, 11372.125, 12680.25, 15617.65, 18094.75]"
2024-01-14,"[3308.828705920604, 3161.0072254081083, 2961.5349168800853, 2955.622637232656, 3040.566589468892, 3344.9793060262773, 4291.800423649898, 7967.134555734703, 8939.564216945297, 6878.671744925168, 4269.666316200574, 3974.5808109423633, 3629.903313760217, 3198.2305323440733, 3540.251665358367, 3482.225184243331, 3893.79037828249, 4501.808911694141, 5490.489017586235, 5509.858253633266, 4647.3508108006745, 3803.495713773156, 3126.281838058864, 3165.1519701077136]","[27895.97, 29267.98, 28652.58, 29404.08, 27717.12, 32043.0, 37746.97, 44389.130000000005, 37618.7, 35415.96, 29855.67, 26749.25, 26216.23, 24078.6, 24637.58, 28077.0, 28028.26, 23215.9, 32938.26, 34599.72, 34392.67, 27035.2, 21059.01, 22132.8]","[11671.5, 10317.875, 9844.725, 9754.675, 9657.775, 11836.0, 14213.225, 18253.25, 18271.025, 15724.0, 12530.1, 11426.675, 10751.575, 9176.1, 10038.35, 10792.075, 11683.175, 10651.7, 13111.275, 13759.375, 12288.625, 10250.475, 9209.025, 9532.125]","[20064.85, 22285.35, 23739.0, 24186.725, 22215.0, 17536.475, 13130.9, 11678.375, 9749.7, 9599.2, 9950.775, 10572.125, 11676.2, 13424.55, 14867.8, 15004.125, 12153.05, 9307.35, 10296.55, 10420.55, 11783.7, 13329.925, 15121.725, 16849.875]"
2024-01-15,"[3156.263658073778, 2961.983502689863, 2812.8008452028025, 2725.477526482648, 2858.840543004685, 3304.911394001644, 5120.917864333517, 10000.0, 9999.999999999998, 10000.0, 10000.000000000002, 5932.285752743842, 4436.791752442012, 3395.8758770143763, 3766.3596935832406, 4251.08047348634, 6865.802155832367, 10000.000000000002, 10000.0, 9999.999999999998, 6181.173943323028, 4468.341985119397, 3634.910420379365, 3414.2757933110715]","[22429.4, 22516.01, 23534.47, 23657.0, 22747.87, 24174.29, 29200.58, 29716.79, 27685.8, 28454.69, 33252.4, 34738.71, 33013.76, 31520.92, 31852.37, 33791.259999999995, 31176.45, 28377.38, 35149.19, 36409.18, 37386.26, 31764.84, 23977.39, 21228.81]","[8872.525, 7920.2, 7694.7, 7529.825, 7759.475, 9549.725, 13366.9, 18071.425, 19945.075, 19186.95, 16901.4, 15319.725, 14204.8, 11858.1, 12354.95, 13523.7, 15719.475, 16784.475, 19796.375, 18874.125, 15440.15, 13095.075, 11608.675, 11212.75]","[19745.775, 22293.075, 23945.5, 24312.45, 22153.5, 15924.225, 9466.6, 7494.2, 6986.45, 7178.675, 8378.1, 9518.925, 10756.925, 12567.0, 11840.875, 10629.075, 8484.275, 7159.35, 8852.3, 9167.3, 10497.1, 11924.575, 13434.3, 14939.675]"
2024-01-16,"[3505.300344082681, 3173.193302662872, 3010.9058246802333, 2930.547431222086, 3069.994673645545, 3569.361951021739, 6258.346683800151, 9999.999999999998, 10000.0, 9999.999999999998, 10000.0, 6536.987859847313, 4158.929793827718, 3490.825958566189, 3576.6613467483576, 4066.552120398972, 8237.855866263299, 10000.000000000002, 10000.0, 10000.0, 7270.360347504718, 4594.565548152824, 3627.960229820766, 3491.284884267593]","[20599.7, 21360.4, 22700.92, 22916.15, 22454.42, 25158.1, 25855.8, 26080.59, 24647.09, 26804.300000000003, 30529.0, 32327.6, 29332.75, 29499.58, 30309.3, 30819.2, 28790.9, 26980.69, 32242.9, 34601.29, 38311.71, 35167.2, 24314.6, 21662.04]","[9379.425, 8314.0, 8268.7, 8206.8, 8545.95, 10879.875, 14031.6, 17518.4, 20403.925, 19570.85, 17400.55, 15888.8, 13966.475, 11738.525, 11819.975, 12728.275, 15215.025, 17659.175, 20026.175, 19464.15, 15687.125, 13360.25, 10730.65, 10434.375]","[17625.3, 20137.725, 21830.475, 22197.9, 20115.8, 14105.525, 7726.1, 6520.15, 6161.775, 6701.075000000001, 7632.25, 8773.55, 9913.55, 11615.15, 11549.35, 9877.175, 7422.225, 6745.174999999999, 8060.725, 8650.325, 10037.475, 12111.35, 13648.825, 14589.15]"
2024-01-17,"[3241.334145126389, 3006.1367845417662, 2870.472373397815, 2823.3601258622007, 2921.329101058966, 3732.870882102071, 6331.99491469277, 10000.0, 10000.0, 10000.0, 9961.896053387462, 5844.077195987396, 4026.514266001289, 3300.848845971785, 3648.4201101934914, 4074.393054314487, 6741.2200574399485, 10000.0, 10000.0, 10000.0, 7636.305132693452, 4551.723671636072, 3708.654195278432, 3516.3537515907205]","[20334.0, 20770.29, 21190.59, 21637.95, 20931.74, 25323.6, 33402.21, 30894.7, 29353.1, 31661.2, 33352.4, 35119.35, 31017.97, 28942.1, 29462.72, 28899.84, 31197.8, 30773.3, 31952.47, 34076.17, 37980.02, 32047.43, 23523.54, 20399.56]","[8486.875, 8012.25, 7749.4, 7693.950000000001, 8117.8, 10972.675, 14909.4, 19735.775, 22451.25, 20268.8, 17192.25, 15810.65, 13521.95, 10046.375, 11641.575, 12428.7, 14628.85, 18249.275, 20397.4, 19784.925, 16125.85, 12766.725, 10418.55, 9951.45]","[16888.675, 18900.275, 20244.125, 20372.825, 18201.775, 13272.35, 9895.4, 7788.675, 7403.275, 7980.3, 8403.1, 9754.95, 10418.15, 11832.375, 11398.925, 9736.65, 8423.85, 7758.325, 8053.125, 8584.05, 10040.875, 10965.4, 12156.05, 13213.55]"
2024-01-18,"[3411.043276345521, 3112.3092632357884, 3043.3371213008204, 3038.574141818872, 3163.999428532324, 3939.8836593582087, 6521.517295496186, 10000.0, 10000.000000000002, 10000.0, 10000.0, 6205.061174066522, 4240.01747163848, 3470.05924843505, 3840.811743035688, 4815.456403728987, 8675.877294180018, 9999.999999999998, 10000.0, 10000.0, 8650.852357773852, 5027.616510063274, 3935.1777049486295, 3496.631962344975]","[21857.89, 22297.5, 22531.01, 22661.3, 23088.27, 27488.7, 33893.5, 30377.17, 29546.2, 31335.69, 34762.7, 34779.29, 29399.87, 30361.98, 29549.94, 30970.33, 32443.4, 28769.47, 30384.49, 32724.58, 38889.65, 34958.8, 25396.12, 22139.94]","[9706.2, 9152.4, 9052.85, 9046.25, 9618.65, 11630.45, 15409.85, 20519.3, 23260.15, 22178.575, 18089.95, 16375.6, 14233.175, 11868.225, 12463.775, 13827.225, 16379.225, 20434.975, 21723.375, 21045.525, 17646.1, 14163.55, 10960.075, 9914.525]","[16175.925, 18342.25, 19503.875, 19634.975, 17080.875, 12501.65, 9616.925, 7719.3, 7511.55, 7958.925, 8815.675, 9647.35, 9494.35, 10726.85, 10144.15, 9346.025, 8426.175, 7192.375, 7596.125, 8213.65, 9994.575, 10466.75, 11282.2, 12624.7]"
2024-01-19,"[3091.164673951001, 2903.08347596916, 2843.5197937872326, 2684.690870797196, 2880.517874411113, 3700.508380688205, 7383.464514572401, 10000.0, 10000.0, 9999.999999999998, 10000.0, 7869.946280655359, 5189.356878869672, 3895.4424613082047, 4541.8237346306505, 5010.657522860749, 9294.728712916156, 10000.0, 10000.0, 10000.0, 9010.560908832222, 5049.552998055424, 3705.748279494786, 3502.025145146658]","[23767.9, 24001.45, 24294.81, 25328.63, 24835.0, 28912.9, 34052.04, 29129.19, 29078.0, 32991.380000000005, 34063.28, 35772.7, 31898.7, 29745.97, 31154.54, 32390.67, 30009.7, 25816.49, 26995.28, 28720.0, 34755.48, 29929.4, 22620.1, 21826.2]","[9482.725, 8850.75, 8720.8, 8737.8, 9122.525, 11539.3, 16318.5, 21534.4, 25696.1, 25571.525, 21210.125, 18361.525, 16353.325, 12903.375, 13722.875, 14454.85, 16457.675, 21157.85, 22691.85, 21004.275, 16544.65, 12880.0, 10455.3, 10356.525]","[16477.45, 18619.85, 20319.35, 20485.925, 18363.725, 13117.1, 9311.25, 7282.3, 7269.5, 8247.85, 8515.825, 9236.275, 9204.35, 10340.25, 9967.325, 9296.1, 7576.85, 6454.125, 6748.825, 7180.0, 9009.95, 9519.525, 10579.3, 12523.725]"
2024-01-20,"[3105.194370516781, 2924.094146855922, 2881.3925834929155, 2833.6194864653858, 2933.088122277427, 3550.17130115917, 8527.703576223388, 10000.000000000002, 10000.0, 10000.0, 10000.0, 9037.16840918184, 5757.848887298015, 3818.267116889782, 4200.754735470891, 5681.082431860215, 10000.0, 10000.0, 10000.0, 10000.0, 9372.5844666617, 5237.410812637573, 3525.585212523505, 3543.04549174756]","[26055.5, 26454.5, 26590.28, 27576.33, 27765.55, 30093.09, 31484.89, 25461.06, 24867.79, 28976.1, 33520.0, 36241.1, 33880.77, 29852.31, 30898.49, 33062.55, 27613.0, 23339.16, 24485.18, 25666.38, 33043.380000000005, 28998.29, 23079.8, 22066.2]","[9935.25, 9414.2, 9250.125, 9375.175, 9783.625, 11735.85, 16751.324999999997, 21929.325, 28001.575, 27102.325, 21451.2, 18718.05, 16505.25, 13136.65, 13911.75, 15556.1, 18181.35, 22795.05, 23530.55, 20125.475, 15785.275, 12377.875, 10153.775, 10426.15]","[17005.6, 18716.575, 19901.975, 20314.025, 18357.85, 12713.925, 8309.825, 6365.275, 6216.95, 7294.025, 8380.0, 9255.125, 9320.5, 10213.775, 10084.075, 9229.275, 6912.8, 5834.8, 6121.3, 6416.6, 8423.050000000001, 8903.425, 10077.0, 12243.35]"
